id,document,label,predicted_label,confidence,is_correct,review_length,length_category,sentiment_text
5342398,"스토리도 별로, 연기도 역할을 따라가지 못하고. 모든 것이 엉성한 영화.",0,0,0.997270405292511,True,40,보통,부정
7571404,재밌어용,1,1,0.5050615668296814,True,4,짧은,긍정
7192485,이게 왠 현실성은 개뿔 다버린 아동영화라냐...,0,0,0.9614054560661316,True,26,보통,부정
8623853,"싸구려 냄새 풀풀나지만 의외로 작품성 있는 굉장한 수작.단순 C급영화로만 비춰져서 저평가 받는게 상당히 아쉽다,",1,0,0.9573268294334412,False,62,긴,부정
9278832,근데결말이뭐에요대체 윅스랑 왜그러는건지알려주실분. .????답답해미치겠네,0,0,0.9654666781425476,True,40,보통,부정
3899991,잼없음,0,1,0.5050615668296814,False,3,짧은,긍정
4382811,아름다운 영화... 최고입니다.,1,1,0.9913962483406067,True,17,짧은,긍정
8068380,배경이나 사물 여러가지 측면으로 볼때 2080년 같지않다.,0,0,0.9430562853813171,True,32,보통,부정
7646772,상호파멸로 완성되는 사랑,1,0,0.561843991279602,False,13,짧은,부정
6507402,평점이 왜이렇게 높지.. 영화끝나고 기억나는건 김래원 목소리밖에 없당,0,0,0.9937137961387634,True,38,보통,부정
6516299,정말 쩐다 쩔어;,1,0,0.9915675520896912,False,9,짧은,부정
9824726,평점보고 봤다가 내용도 노잼이고 웃긴것도 아닌 유치한 개그나 치고있고 액션이 쩌는것도 아닌 80년대 액션을 보여주고 20분 보다가 짜증나서 넘겨가면서 보다가 꺼버렸음. 지금 궁금한건 저기 나온 딸래미 여자애 분명히 AV에서 본거같은데 누군지 기억이안나,0,0,0.9972447156906128,True,140,긴,부정
5906405,"영상은좋은데, 스토리가 우울, 여자 연기가;; 몸매가 아름다움에도 불구 별매력이없음",0,0,0.9583187699317932,True,46,보통,부정
8401735,전국~ 노래자랑! 송해선생님이 나오신 작품이고만,1,1,0.8820830583572388,True,26,보통,긍정
9230649,로빈윌리암스.명복을 빔니다.,1,1,0.8461320400238037,True,15,짧은,긍정
4243005,"고수찬양! 눈으로 연기하는 고수, 아 멋집디다.",1,1,0.9823899269104004,True,26,보통,긍정
9350461,감동적이고 지루하지도 않고 기대 이상입니다. 다신 그의 연기를 볼 수 없다는게 더 아쉬워 집니다.,1,0,0.9483030438423157,False,54,긴,부정
6685124,슬프다.........,1,0,0.9883404970169067,False,12,짧은,부정
8615963,다른건 몰라도 정재형은 안 나왔음 좋겠다 정재형도 거의 무도가 키워줬는데 그 경쟁 프로에 나오는 건 아니라고 생각한다,0,0,0.9875773191452026,True,65,긴,부정
820778,만화의 인기를 이용해서 돈 벌어 먹으려는 애들용 영화,0,0,0.8866178393363953,True,29,보통,부정
9584633,화피2 보고 좋아서 화피1을 보니독특함다시 화피2봐야겠음 ㅋ,1,1,0.947052538394928,True,33,보통,긍정
9899653,발연기의 시대라고 해도 과언,0,0,0.9824685454368591,True,15,짧은,부정
7697880,지루했다.이야기가 찝찝하고 끝맺힘이 어쩡쩡하다,0,0,0.9853894114494324,True,25,보통,부정
3378937,전편의 성공(?)으로 나온 속편 스토리는 중요하지 않다,0,0,0.9888449311256409,True,30,보통,부정
3407335,로맨티스트 김정일...-_-,0,1,0.6661507487297058,False,15,짧은,긍정
8032276,내가다시올려주지 ㅋㅋ,1,0,0.9868577718734741,False,11,짧은,부정
2465240,억지스런 상황설정. 허술한스토리..... 결론은 우리의 소원은 통일?,0,0,0.9970507621765137,True,38,보통,부정
9444312,10점만점영화♥♥♥,1,1,0.9132382273674011,True,10,짧은,긍정
6684095,아름답고 자유롭고 독창적인 예술가들의 작품,1,1,0.9919037222862244,True,23,보통,긍정
448723,그녀를 처음 만나다.....,1,0,0.7797107100486755,False,15,짧은,부정
141685,가족이 함께할만한 따스한 영화,1,1,0.9638423323631287,True,16,짧은,긍정
5114846,와... 정말 최고의 감동영화.. 아오이 진짜 예쁘다.. 이준기도 멋있고.. 감동 이야기!,1,1,0.9923938512802124,True,50,보통,긍정
2959593,"누구나 저지를 수 있는 폭력, 서서히 무감각해질 수 밖에.",1,0,0.9472401142120361,False,32,보통,부정
939405,단편영화가아닙니다..........,1,0,0.9484128355979919,False,19,짧은,부정
5242888,주걸륜땜에 봤는데 아..........진짜..........................,0,0,0.956203281879425,True,49,보통,부정
8791926,나가 전라도 망치여.. 돈내고 밥먹은적 없고 돈내고 영화 본적 없응께. 죽고싶덜 않으면 저리 꺼져부러라잉..ㅎㅎ 아직도 기억하늗 망치의 대사. 장군의 아들은 언제봐도 재밌다.,1,0,0.9969326257705688,False,97,긴,부정
9934858,영화가 왜 망한줄 알겠다...취지는 좋았으나 남자주연의 연기력보다 답답한전개가 보는사람을 짜증나게한다.,0,0,0.9970122575759888,True,57,긴,부정
4273185,B급 느낌이 강한 조금은 엉성한 스릴러. 이렇게 맥없이 풀리는 반전도 드물 것 같다.,0,0,0.9720036387443542,True,47,보통,부정
9102198,"감독의 과한 허세를 견디기 힘들 정도지만, 이소연은 이쁘다.",0,1,0.921242356300354,False,33,보통,긍정
7291656,시대상을 잘 그려낸 영화,1,1,0.9690980911254883,True,13,짧은,긍정
5420888,좋다....뭔가 많은걸 느낄수있는..,1,1,0.9709582328796387,True,20,짧은,긍정
7697522,번역이 참...,0,0,0.9828646183013916,True,8,짧은,부정
4477051,이것도 KBS 에서 재밌게 봤었다. 5부작 미니시리즈 버전보다 좀 약했지만..,1,0,0.7389914393424988,False,43,보통,부정
9755666,그냥 최고 말 필요 없다.그냥이다 그냥 최고다.,1,1,0.5158765316009521,True,26,보통,긍정
8154085,"싸구려 CG, 이상한 대사들, 뻔한 스토리 라인과 판에 박힌 캐릭터 등 흥미를 줄만한 요소들이 하나도 없다. 결과는 참고 보기 힘들 정도의 지루함 뿐이다.",0,0,0.9970628619194031,True,86,긴,부정
8543673,"때로는 눅눅하고 달달한 감정이, 때로는 잔인한 전쟁의 느낌이 온 몸을 짓누르는 명작",1,0,0.9689542651176453,False,46,보통,부정
3360895,"좀 나이가 있고, 감정선을 따라가는데 익숙한 관객들이 많이 좋아할 것 같네요^^",1,1,0.9844462275505066,True,44,보통,긍정
7140405,"원제 'Les adoptes' 처럼 사실 우리 하나하나는 모두 고아고, 입양된 사람들이다. 하지만 우리를 묶는 가족이라는 하나의 끈이 있다는 걸 이 영화는 말해준다. 멜라니로랑은 빛나는 외모에, 각본 연출까지... 다 가졌구나.",1,1,0.6504506468772888,True,127,긴,긍정
7240666,인간을얼마나 깊이 연구하고 관찰했으면 이런시나리오를 쓸수있을까. 그리고 잭니콜슨 수준의 배우라고생각한다 윌스미스는,1,0,0.9281401038169861,False,63,긴,부정
7695990,참고 보려했지만... 미안~ㅠㅠ,0,0,0.9797255396842957,True,17,짧은,부정
7108832,미치겠다...평점들보고다들스릴만점!마지막반전쩔어요!이래서봤는데개실망.여기서스포일러는안터뜨리겠음하지만...그범인은내가(대충예상하고있던)범인이아니라그냥;어거지로끼워맞춘느낌이랄까?충격도하나도없었음...난그반전안같은반전뒤에또다른진짜반전이있는줄앎...,0,0,0.9971753358840942,True,135,긴,부정
7306343,야한장면 보다도 충격적인 결말이 훨씬 더 인상적이다. 브레야 감독 작품 중엔 가장 재미있고 대중적인 영화라고 생각함.,1,1,0.9670796990394592,True,65,긴,긍정
6891910,포스터 보고 낚였다... 웅장함도 스릴도 찾아볼 수 없는 반전도 뭣도 없는...,0,0,0.9611769318580627,True,44,보통,부정
9310172,너무 잘 만든 영화 ㅋㅋㅋ 재밌어요,1,1,0.9653767943382263,True,19,짧은,긍정
9633894,몰입감 굿. 마지막엔 소름..,1,1,0.9687181711196899,True,16,짧은,긍정
5138767,이걸 사람이 보라고 만들었냐 ㅉㅉ,0,0,0.8717415928840637,True,18,짧은,부정
3420962,이게 무슨 영화냐.미국편 1933년 작을 감독님이 보기나 하셨는지....,0,0,0.9953451752662659,True,40,보통,부정
6854504,생각 외로 평점이 높네요,0,0,0.6991108059883118,True,13,짧은,부정
2714787,시골마을에 가죽옷 입고 참 할말없다 그의 액션마저.....,0,0,0.9490545988082886,True,32,보통,부정
195055,그냥 보면 재밌다,1,0,0.9397309422492981,False,9,짧은,부정
2705235,허접한 인물 묘사? 짜증나는 사족? 어느 것이 영화를 망하게 했나?,0,0,0.9971944093704224,True,37,보통,부정
7957376,짱잼씀♥,1,1,0.5050615668296814,True,4,짧은,긍정
5295945,"뮤지컬은 일단 노래하는 장면이 좋아야 하는데, 이건 별로",0,0,0.9909085631370544,True,31,보통,부정
8974101,4.44 만들어야지 근데 평점이 너무 낮다,0,0,0.9213381409645081,True,23,보통,부정
2667404,거참..... 이건 좀 아닌거같아...,0,0,0.9885966181755066,True,21,보통,부정
5664841,"예술과 그 기저인 욕망에 대한 가장 단순하고 허접한 설명, 연출력도 너무 뒤쳐진다..",0,0,0.9971622824668884,True,47,보통,부정
9915149,내가 처음 이 영화를 봤을때가 중학생이였나? 그때는 이게뭔가... 싶어서 끝까지 다 보지도 못했었는데.. 시간이 흘러서 오늘 다시 본 이 영화는 감히 내가 평점을 매길수 없는 영화란걸 깨달았다..내가 크긴 컸나보다..,1,0,0.967195987701416,False,121,긴,부정
49364,이거 도덕시간에 봤는데 진짜 감동 ㅠ=ㅠ,0,1,0.9897117614746094,False,22,보통,긍정
7024625,<3 <3,1,0,0.9368560314178467,False,5,짧은,부정
7257117,블랙호크다운. 위워솔저. 마지막으로 꼭집고넘어갈영화 인디팬더스데이.ㅋㅋ웃기지아니한가. 영웅주의영화는 그만좀 만들었음한다.한마디로 그럴싸게 액션으로 포장한 가식 아닌가?,0,0,0.9896127581596375,True,93,긴,부정
8096891,영화가 좀 이상해... 첨에 그여잔 죽은건가? 결국에 시체유기? 마지막엔 할머니랑 체인지 그럼 할머니의 늙은 몸뚱이는 죽어도된다는거야? 참~~~영화 쓰레기같네,0,0,0.9964859485626221,True,88,긴,부정
10195986,영화 잘만들었네 기분좋게 잘봤어요,1,1,0.9840132594108582,True,18,짧은,긍정
7445338,"차태연의 밝은 이미지와 대조적인 주변 주연급 배우들의 어눌한 연기와 표정이 압권임,솔직히 소름 돋음",0,0,0.9945441484451294,True,55,긴,부정
8566534,정말 싱겁다 영화를 다봣어도 보다만 느낌이다,0,0,0.9502683877944946,True,24,보통,부정
9949441,"오늘 엘지유플러스로 장화,홍련이란 영화를 보았을떄무섭고 감동 적이었어요",1,1,0.9321605563163757,True,39,보통,긍정
10276799,사람도 아닌 원숭이한테 반함,1,0,0.9970031380653381,False,15,짧은,부정
10123706,칼라일 개잘생겼고 앨리스 존나 이쁘고 제이콥 몸 존나 좋다액션씬 진심 개재밌다 이거빼면 없다 이거라서 3점줌,0,1,0.9914401769638062,False,60,긴,긍정
8182995,영화사에 걸작이라 부를수 있는 작품,1,0,0.969070553779602,False,19,짧은,부정
7014004,이작품좋아하는데 진짜웃김 ㅋ,1,0,0.8679797053337097,False,15,짧은,부정
9450837,더빙을 했으면 DVD에는 원어를 추가해야지 왜 덴마크어가 아닌 '영어 더빙'이 나오는건가요?,0,0,0.9904252886772156,True,51,긴,부정
7539974,이 영화는 리치가 나쁜 사람을 없에는 영화인대 정말 감동 적 이다.,1,1,0.9877482652664185,True,37,보통,긍정
6072938,"골프라는 소재로 크리슈나의 가르침을 전달한 멋진 영화 당신이 있던 그 자리로 돌아가라..,",1,0,0.7578096985816956,False,50,보통,부정
9259346,아주공감해요^ ^ㅎㅎㅎ,0,1,0.9862551689147949,False,12,짧은,긍정
9138208,내용이 점점 짜증나서 결국 채널을돌렸습니다. 당분간은 보지 않을것같네요,0,0,0.9910558462142944,True,39,보통,부정
9907920,전쟁영화는 그냥 좀 만들어라 이상한 스캔들넣지말고,0,0,0.977775514125824,True,27,보통,부정
9416483,엑소시즘 영화중 망작 걍 컨저링 한번 더 보시길,0,0,0.9778163433074951,True,26,보통,부정
6079398,"유일하게 보다 짜증나서 눈감고 잔 영화. 기분 나쁜 영화였다, 짐승들같은영화",0,0,0.9600386023521423,True,42,보통,부정
5783393,무사백동수 다시 했으면 좋겠어요ㅠㅠ 정말 짱입니다.,1,1,0.9917216897010803,True,28,보통,긍정
6316789,엉엉 넘울어서 눈이부었어여 ㅠㅠ,1,0,0.971490740776062,False,17,짧은,부정
6667680,5점이나 6점이 적당한데 10점 올리는 사람들때문에 1점,0,0,0.8670833110809326,True,31,보통,부정
9283126,ㅋㅋ제작진 돈에눈멀어서그럼 군필자들은다알어 저따위로군생활하는거보면 어이없다는걸 진짜 저프로보면서 군인별거아니라고하는사람이많은데 뭐장난하는것도아니고 진짜 김수로등외 몇명 병장전역하고끝내요 갈수록 산으로올라가네 군대가장난이야?나라지키는군인생각해바요제작진,0,0,0.9972930550575256,True,139,긴,부정
2305816,엔딩 ㅆ ㅣ바 ㅋㅋㅋㅋㅋㅋ,0,0,0.520667552947998,True,14,짧은,부정
3895254,너무 잼있게 봤다 ^^,1,1,0.7373708486557007,True,12,짧은,긍정
5915113,완전 재밌어여!!,1,1,0.8972022533416748,True,9,짧은,긍정
7471462,재수없고 끔찍한 이야기... 뭐야 이거...,0,0,0.9886500835418701,True,24,보통,부정
2047194,처음으로 배우를 죽이고 싶어졌다.,0,1,0.9091444611549377,False,18,짧은,긍정
2640509,기대없이 봤는데 흙속의 진주??,1,0,0.9957960844039917,False,17,짧은,부정
3017843,샤를리즈테론만 볼만함...솔직하게 내용은 재미없다,0,0,0.9657983779907227,True,27,보통,부정
8253697,딸링타임조차 될수없다.,0,0,0.7483506202697754,True,12,짧은,부정
9973925,이건 돈을 보지않고 지들끼리좋아만든 최고의역작김박사연기짱인듯....다들개콘식구들인가???류담능력은뭐지??,0,0,0.9193042516708374,True,58,긴,부정
4845901,불교가 아닌 인간을 보시오.. 임권택 안성기의 가장 아름다운 순간..,1,0,0.9658480882644653,False,38,보통,부정
331080,남자 엉덩이 끝내준다,1,0,0.9897472858428955,False,11,짧은,부정
